spec_id,controls,year_filter,party_filter,seat_filter,winnable_threshold,female_coef,female_se,female_p,ci_lower,ci_upper,n
553,year,2009,national,all,40,0.07616044425698298,1.6423518186422648,0.9630131195978129,-3.1427899702257145,3.2951108587396805,948
554,year,2009,national,general,40,-0.7470697453993674,2.0237849757546686,0.7120197811144819,-4.713615410331784,3.21947591953305,717
555,year,2009,national,sc,40,1.7442216845197467,2.7270198280775984,0.5224279603485624,-3.6006389636389557,7.08908233267845,140
556,year,2009,regional,all,40,-0.24352761913596907,5.713705086064066e-10,0.0,-0.2435276202558347,-0.24352761801610345,5689
557,year,2009,regional,general,40,0.1005195212151239,0.2664039297024582,0.7059358375103196,-0.42162258634163446,0.6226616287718822,4713
558,year,2009,regional,sc,40,-0.0007590821129054029,0.7465941397508337,0.9991887696920276,-1.4640567070932031,1.4625385428673925,717
559,year,2009,regional,st,40,-6.0185068740761425,2.978430191217281,0.04331107374621547,-11.85612277932876,-0.18089096882352518,259
560,year,2009,independent,all,40,-0.712361770820166,0.33458394863723345,0.03324621379637026,-1.368134259954343,-0.0565892816859892,3834
561,year,2009,independent,general,40,-0.23774294380027505,9.901156293662103e-11,0.0,-0.23774294399433415,-0.23774294360621595,3261
562,year,2009,independent,sc,40,0.016170478859055596,0.300143828122452,0.9570341439932288,-0.5721006144429305,0.6044415721610418,439
563,year,2014,all,all,40,0.17157548823403504,0.4222885555687754,0.6845227976001119,-0.6560948717642061,0.9992458482322761,6242
564,year,2014,all,general,40,0.4393539720826334,0.5771755389557565,0.4465293906007717,-0.6918892970281443,1.570597241193411,5096
565,year,2014,all,sc,40,-0.03266914671881081,1.2153853149601523,0.9785557148630323,-2.4147805913795795,2.349442297941958,811
566,year,2014,all,st,40,-2.5319864842250497,1.536303564259156,0.09933154067585706,-5.5430861394935125,0.47911317104341267,335
567,year,2014,national,all,40,-0.05118202014633258,2.0556532693886984,0.9801361808644427,-4.080188392850195,3.97782435255753,955
568,year,2014,national,general,40,-0.01090805668807876,2.3024020991447585,0.9962198881488575,-4.5235332489412245,4.501717135565067,719
569,year,2014,national,sc,40,0.08440695485268351,6.967257018208597,0.9903340211852911,-13.571165871870095,13.739979781575462,145
570,year,2014,regional,all,40,0.09928187509466455,3.340286402671625e-10,0.0,0.09928187443998045,0.09928187574934864,5287
571,year,2014,regional,general,40,0.3928496905979485,0.38534132536917615,0.3079727837326044,-0.36240542888056737,1.1481048100764644,4377
572,year,2014,regional,sc,40,-0.22676780110510808,0.9080388500068654,0.8027933806516399,-2.0064912436817326,1.5529556414715162,666
573,year,2014,regional,st,40,-2.3072380066773768,1.4133263209159181,0.10257676195154332,-5.077306694075075,0.4628306807203213,244
574,year,2014,independent,all,40,-0.16029676769263126,0.2975770489715656,0.5901124004419461,-0.7435370663026117,0.42294353091734926,3230
575,year,2014,independent,general,40,0.3167065243725878,0.31131150079724523,0.3089964769585958,-0.29345280516312516,0.9268658539083008,2769
576,year,2014,independent,sc,40,0.09077136080836236,0.09727892420578844,0.3507662341796359,-0.09989182708978468,0.2814345487065094,351
577,year,2014,independent,st,40,-5.358227046765935,2.092215031894966,0.01043621164982422,-9.45889315719339,-1.2575609363384812,110
578,year,2019,all,all,40,0.5582006013906164,2.0473138496019107e-09,0.0,0.558200597377955,0.5582006054032779,6055
579,year,2019,all,general,40,0.7006125235860917,7.677702989206938e-09,0.0,0.7006125085380703,0.7006125386341131,4978
580,year,2019,all,sc,40,0.2194980836555527,2.402388964165873e-10,0.0,0.21949808318469313,0.21949808412641228,745
581,year,2019,all,st,40,0.27725731721242963,1.6066793220278315,0.8629930225661188,-2.8717762886673515,3.426290923092211,332
582,year,2019,national,all,40,0.5237811496521553,1.337389672989791,0.6953209914754448,-2.0974544427036355,3.145016742007946,882
583,year,2019,national,general,40,0.9274384598864946,1.6565612867611492,0.5755765575639203,-2.3193620003486863,4.174238920121676,662
584,year,2019,national,sc,40,-4.773470571142301,2.2321512975443656,0.03247563853901606,-9.148406722373608,-0.3985344199109946,132
585,year,2019,regional,all,40,0.4634818552504541,6.911878513860107e-10,0.0,0.4634818538957508,0.4634818566051574,5173
586,year,2019,regional,general,40,0.4207824173760425,6.909896780862133e-10,0.0,0.4207824160217276,0.4207824187303574,4316
587,year,2019,regional,sc,40,2.198611865971921,1.172462051523458,0.060763920811312995,-0.09937152825400197,4.496595260197844,613
588,year,2019,regional,st,40,-0.6461393501125721,1.4809111529717462,0.6626103554222031,-3.548671874240881,2.256393174015737,244
589,year,2019,independent,all,40,0.2820289070209353,6.40015668522194e-10,0.0,0.28202890576652767,0.28202890827534294,3443
590,year,2019,independent,general,40,0.18766219593983532,0.3029289359246755,0.5355919783865113,-0.4060676083475704,0.7813920002272411,2973
591,year,2019,independent,sc,40,1.9272162862222275,1.8501509298667456,0.2975723312436146,-1.699012902279885,5.55344547472434,343
592,year,2019,independent,st,40,-1.0180730645957987,1.4681402393766896,0.4880309472537985,-3.895575058028124,1.8594289288365267,127
593,full,all,all,all,25,0.08335242723078448,0.22007124808991002,0.704872028371857,-0.3479792930582183,0.5146841475197873,24380
594,full,all,all,general,25,0.1396862801343196,0.24688676096655326,0.571535940325793,-0.344202879619874,0.6235754398885132,19988
595,full,all,all,sc,25,0.2705266068671049,0.5885551236313926,0.6457708252328946,-0.8830202383669437,1.4240734521011533,3116
596,full,all,all,st,25,-0.754002142658764,0.8293027178471916,0.36324449319904417,-2.3794056019204417,0.8714013166029138,1276
597,full,all,national,all,25,-0.20153379692014767,0.7987026298224176,0.8007887474672424,-1.766962185729513,1.3638945918892178,3636
598,full,all,national,general,25,-0.24980745688012151,4.4970175349669195e-10,0.0,-0.24980745776152075,-0.24980745599872228,2750
599,full,all,national,sc,25,-0.9659770135290559,2.0783679448594223,0.6420913686242715,-5.039503332076053,3.1075493050179412,538
600,full,all,national,st,25,1.2540628027660028,2.133638997670281,0.5566949235646879,-2.927792788677888,5.435918394209894,348
601,full,all,regional,all,25,0.10721739129302571,0.17348995040630602,0.5365730515110549,-0.23281666318297423,0.44725144576902565,20744
602,full,all,regional,general,25,0.2095770704392532,0.18430645040569388,0.2554914816508085,-0.15165693447432446,0.5708110753528308,17238
603,full,all,regional,sc,25,0.4500196350620552,0.4995783346316759,0.3676952304331145,-0.5291359082725288,1.429175178396639,2578
604,full,all,regional,st,25,-1.1767358585463783,0.816029479079197,0.14929499304144897,-2.776124247864586,0.4226525307718294,928
605,full,all,independent,all,25,-0.08973752885478481,2.6384733691248753e-10,0.0,-0.08973752937191609,-0.08973752833765353,12896
606,full,all,independent,general,25,0.08022898737797506,0.13490513910351784,0.5520395559171017,-0.184180226594286,0.34463820135023615,11071
607,full,all,independent,sc,25,0.4377410783629203,0.4468226009150793,0.32724640813316286,-0.4380151269091489,1.3134972836349896,1395
608,full,all,independent,st,25,-3.505329113360563,1.1366026511486238,0.002042094890991306,-5.733029374344609,-1.277628852376517,430
609,full,2004,all,all,25,-0.24186914189835876,0.3092981979025343,0.434218466601624,-0.8480824702704681,0.36434418647375066,5446
610,full,2004,all,general,25,-0.3343733065806424,0.33765529964503455,0.32203725559048224,-0.9961655330739903,0.3274189199127054,4484
611,full,2004,all,sc,25,0.6795090300346456,0.8742621788888963,0.4370188775618309,-1.0340133536331053,2.3930314137023965,703
612,full,2004,all,st,25,-0.7937784703921869,1.3419499275675804,0.5541779239010776,-3.4239519974807786,1.8363950566964047,259
613,full,2004,national,all,25,-0.44092974428860043,1.020681182832459,0.6657446365112516,-2.4414281023379623,1.5595686137607612,851
614,full,2004,national,general,25,-0.5814684436284581,1.2204529832156723,0.6337633803419407,-2.9735123355556428,1.8105754482987266,652
615,full,2004,national,sc,25,2.185539734270414,1.897097924150369,0.2493031114694949,-1.5327038722100084,5.903783340750836,121
616,full,2004,regional,all,25,-0.1704368466809256,0.2723374182363921,0.5314266443736944,-0.7042083780668759,0.3633346847050246,4595
617,full,2004,regional,general,25,-0.23560205603938275,0.2933666757629471,0.4219183586465376,-0.8105901747989988,0.3393860627202332,3832
618,full,2004,regional,sc,25,0.1871518062268663,0.9674091698165939,0.8466012970869288,-1.7089353249274508,2.0832389373811835,582
619,full,2004,regional,st,25,0.02547546971702733,0.9321601765718985,0.9781969296187016,-1.8015249041863912,1.852475843620446,181
620,full,2004,independent,all,25,-0.11108021220543918,2.707084472904152e-11,0.0,-0.11108021225849705,-0.1110802121523813,2389
621,full,2004,independent,general,25,-0.09203451532730224,1.9666032506682347e-10,0.0,-0.0920345157127494,-0.09203451494185508,2068
622,full,2004,independent,sc,25,-0.3672529406119664,0.24200057466341426,0.12912270048861904,-0.8415653511902547,0.10705946996632187,262
623,full,2009,all,all,25,-0.03239325344627689,4.416763206953141e-11,0.0,-0.032393253532843856,-0.03239325335970992,6637
624,full,2009,all,general,25,-0.013325601507218196,1.4895043242133216e-11,0.0,-0.013325601536411944,-0.013325601478024448,5430
625,full,2009,all,sc,25,0.39763995831707516,0.8325383406094349,0.6329181314569757,-1.2341052050261576,2.029385121660308,857
626,full,2009,all,st,25,-0.07851163340999832,2.0289408823817454,0.9691328658979943,-4.055162689639137,3.8981394228191406,350
