review_id,PARL_ROW_ID,MYNETA_ROW_ID,YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score,review_priority,decision,evidence_reference,reviewer,reviewed_at_utc,notes
118,2415,3916,2009,BILASPUR,ASHOK SHRIVASTAVA,IND,Ashok Shrivastav,IND,0.9727272727272728,0.9696969696969697,1.0,P2,,,,,
119,2418,3310,2009,BILASPUR,ABDUL HAMID SIDDIQUE,IND,Abdul Hamid Siddiqui,IND,0.955,0.95,1.0,P3,,,,,
120,2454,9724,2009,BIRBHUM,SHIB RATAN SHARMA,JMM,SHIBRATAN SHARMA,JMM,0.9727272727272728,0.9696969696969697,1.0,P2,,,,,
121,2470,9286,2009,BOLANGIR,SANGEETA KUMARI SINGH DEO,BJP,SANGEETA KUMARI SINGDEO,BJP,0.9625,0.9583333333333334,1.0,P3,,,,,
122,2472,4165,2009,BOLANGIR,BALHAN SAGAR,BSP,BALHANSAGAR,BSP,0.9608695652173913,0.9565217391304348,1.0,P3,,,,,
123,2485,10670,2009,BOLPUR,VIDYASAGAR METE,BSP,VIDYA SAGAR METE,BSP,0.9709677419354839,0.967741935483871,1.0,P2,,,,,
124,2544,9735,2009,BULDHANA,SHINGANE DR.RAJENDRA BHASKARRAO,NCP,SHINGNE DR.RAJENDRA BHASKARRAO,NCP,0.9836363636363636,0.9818181818181818,1.0,P1,,,,,
125,2546,4956,2009,BULDHANA,DHOKNE RAVINDRA TULSHIRAMJI,BBM,DHOKNE RAVINDRA TULSHRAMJI,BBM,0.9830188679245283,0.9811320754716981,1.0,P1,,,,,
126,2551,8551,2009,BULDHANA,RAJESH NILKANTHRAO TATHE,IND,RAJESH NIKANTHRAO TATHE,IND,0.9808510638297872,0.9787234042553191,1.0,P1,,,,,
127,2556,5337,2009,BULDHANA,GAJANAN RAJARAM SIRSAT,RSPS,GAJANAN RAJARAM SIRSAT,RSP,0.9857142857142858,1.0,0.8571428571428571,P1,,,,,
