spec_id,controls,vote_share_min,year_filter,party_filter,seat_filter,winnable_threshold,n,n_female,female_coef,female_se,female_p,ci_lower,ci_upper,r2
910,controls+winnable,0.0,2004,all,reserved,30,921,67,-0.6120757886699587,0.7267042115300543,0.3996409728489151,-2.0363898706824424,0.8122382933425248,0.01791224159270932
1342,full+winnable,0.0,2004,all,reserved,30,921,67,-0.6120757886699572,0.7267042115300544,0.3996409728489162,-2.036389870682441,0.8122382933425266,0.01791224159270932
928,controls+winnable,0.0,2004,regional,all,40,1938,116,-0.6120041772502601,0.5073128282874891,0.22767698478033738,-1.6063190495888917,0.38231069508837134,0.01979758828392053
1360,full+winnable,0.0,2004,regional,all,40,1938,116,-0.6120041772502597,0.5073128282874895,0.22767698478033804,-1.6063190495888917,0.38231069508837245,0.01979758828392053
691,year+winnable,0.5,2004,all,general,35,1603,116,-0.6113188018271165,0.8228680354723492,0.4575347658903305,-2.2241105153821485,1.0014729117279155,0.0005403848692151492
259,none+winnable,0.5,2004,all,general,35,1603,116,-0.6113188018271162,0.8228680354723495,0.45753476589033093,-2.224110515382149,1.0014729117279164,0.0005403848692151492
260,none+winnable,0.5,2004,all,general,40,1603,116,-0.6101120105482489,0.8208381799781623,0.4573126140400995,-2.218925280440854,0.998701259344356,0.0006682558951226492
692,year+winnable,0.5,2004,all,general,40,1603,116,-0.6101120105482474,0.8208381799781622,0.4573126140401005,-2.2189252804408524,0.9987012593443574,0.0006682558951226492
523,year+winnable,0.0,2009,national,general,35,774,64,-0.6046574658216471,1.429300632549014,0.6722629500733661,-3.406035228698032,2.196720297054738,0.10417731831237942
580,year+winnable,0.25,2004,all,all,40,2678,192,-0.6040806447406837,0.557016340121922,0.2781460120329494,-1.695812610179964,0.4876513206985966,0.0005734223165764218
148,none+winnable,0.25,2004,all,all,40,2678,192,-0.6040806447406837,0.5570163401219218,0.2781460120329493,-1.6958126101799635,0.4876513206985962,0.0005734223165764218
